"","season","PlotID","Source","ElapsedTimeSinceRunoffStarted_Minutes","data","detection level","method"
"31","A","111","S","T2","2.9","WR","CampylobacterCulturable_MPNPer100ml"
"32","A","112","P","30-T","7","WR","CampylobacterCulturable_MPNPer100ml"
"33","A","112","P","T2","1.9","WR","CampylobacterCulturable_MPNPer100ml"
"34","A","201","P","30-T","16","WR","CampylobacterCulturable_MPNPer100ml"
"35","A","201","P","T2","3.2","WR","CampylobacterCulturable_MPNPer100ml"
"36","A","202","S","30-T","4.7","WR","CampylobacterCulturable_MPNPer100ml"
"37","A","202","S","T2","4.7","WR","CampylobacterCulturable_MPNPer100ml"
"38","A","203","P","30-T","21","WR","CampylobacterCulturable_MPNPer100ml"
"39","A","205","C","30-T","23","WR","CampylobacterCulturable_MPNPer100ml"
"40","A","205","C","T2-a","240","WR","CampylobacterCulturable_MPNPer100ml"
"41","A","206","P","30-T","23","WR","CampylobacterCulturable_MPNPer100ml"
"42","A","206","P","T2","23","WR","CampylobacterCulturable_MPNPer100ml"
"43","A","210","S","T2","48","WR","CampylobacterCulturable_MPNPer100ml"
"44","A","307","C","30-T","1.7","WR","CampylobacterCulturable_MPNPer100ml"
"45","A","307","C","T2","1.3","WR","CampylobacterCulturable_MPNPer100ml"
"46","A","308","X","30-T","220","WR","CampylobacterCulturable_MPNPer100ml"
"47","A","308","X","T2","1.3","WR","CampylobacterCulturable_MPNPer100ml"
"48","A","401","S","30-T","2.1","WR","CampylobacterCulturable_MPNPer100ml"
"49","A","401","S","T2","1.3","WR","CampylobacterCulturable_MPNPer100ml"
"50","A","402","X","30-T","2.3","WR","CampylobacterCulturable_MPNPer100ml"
"51","A","402","X","T2","2.3","WR","CampylobacterCulturable_MPNPer100ml"
"52","A","403","C","30-T","3","WR","CampylobacterCulturable_MPNPer100ml"
"53","A","403","C","T2","92","WR","CampylobacterCulturable_MPNPer100ml"
"54","A","404","P","30-T","3.4","WR","CampylobacterCulturable_MPNPer100ml"
"55","A","404","P","T2","4.4","WR","CampylobacterCulturable_MPNPer100ml"
"56","A","405","X","T2","6.2","WR","CampylobacterCulturable_MPNPer100ml"
"57","A","407","X","T2","48","WR","CampylobacterCulturable_MPNPer100ml"
"58","A","408","P","30-T","48","WR","CampylobacterCulturable_MPNPer100ml"
"59","A","409","C","30-T","0.96","WR","CampylobacterCulturable_MPNPer100ml"
"60","A","409","C","T2","0.64","WR","CampylobacterCulturable_MPNPer100ml"
"61","A","411","S","T2","9.2","WR","CampylobacterCulturable_MPNPer100ml"
"62","A","412","C","T2","21","WR","CampylobacterCulturable_MPNPer100ml"
"63","A","501","X","30-T","1.3","WR","CampylobacterCulturable_MPNPer100ml"
"64","A","501","X","T2","2.1","WR","CampylobacterCulturable_MPNPer100ml"
"65","A","502","S","30-T","2.1","WR","CampylobacterCulturable_MPNPer100ml"
"66","A","502","S","T2","0.42","WR","CampylobacterCulturable_MPNPer100ml"
"67","A","503","C","30-T","1.3","WR","CampylobacterCulturable_MPNPer100ml"
"68","A","503","C","T2","0.63","WR","CampylobacterCulturable_MPNPer100ml"
"69","A","504","X","30-T","0.96","WR","CampylobacterCulturable_MPNPer100ml"
"70","A","504","X","T2","0.96","WR","CampylobacterCulturable_MPNPer100ml"
"71","A","101","S","30-T","99","BDL","Campylobacter_GUPer100ml"
"72","A","101","S","T2","203.4","BDL","Campylobacter_GUPer100ml"
"73","A","102","P","30-T","565.4737012","BQL","Campylobacter_GUPer100ml"
"74","A","102","P","T2","54","BDL","Campylobacter_GUPer100ml"
"75","A","109","C","40-T","154","BDL","Campylobacter_GUPer100ml"
"76","A","109","C","T2","275.4","BDL","Campylobacter_GUPer100ml"
"77","A","110","C","T2-a","61.2","BDL","Campylobacter_GUPer100ml"
"78","A","110","C","T2-b","126","BDL","Campylobacter_GUPer100ml"
"79","A","203","P","30-T","54","BDL","Campylobacter_GUPer100ml"
"80","A","203","P","T2","54","BDL","Campylobacter_GUPer100ml"
"81","A","204","X","30-T","108","BDL","Campylobacter_GUPer100ml"
"82","A","204","X","T2","122.4","BDL","Campylobacter_GUPer100ml"
"83","A","205","C","30-T","81","BDL","Campylobacter_GUPer100ml"
"84","A","205","C","T2-a","99","BDL","Campylobacter_GUPer100ml"
"85","A","206","P","30-T","54","BDL","Campylobacter_GUPer100ml"
"86","A","206","P","T2","50.4738","BQL","Campylobacter_GUPer100ml"
"87","A","405","X","30-T","172.8","BDL","Campylobacter_GUPer100ml"
"88","A","405","X","T2","90","BDL","Campylobacter_GUPer100ml"
"89","A","406","S","30-T","90","BDL","Campylobacter_GUPer100ml"
"90","A","406","S","T2-a","306","BDL","Campylobacter_GUPer100ml"
"91","A","411","S","T2","230.4","BDL","Campylobacter_GUPer100ml"
"92","A","412","C","T2","132.0084","BQL","Campylobacter_GUPer100ml"
"93","A","104","X","T2","80.1","BDL","Campylobacter_GUPer100ml"
"94","A","108","P","30-T","54","BDL","Campylobacter_GUPer100ml"
"95","A","108","P","T2","286.902","BQL","Campylobacter_GUPer100ml"
"96","A","501","X","30-T","178.2","BDL","Campylobacter_GUPer100ml"
"97","A","501","X","T2","145.8","BDL","Campylobacter_GUPer100ml"
"98","A","502","S","30-T","88.2","BDL","Campylobacter_GUPer100ml"
"99","A","502","S","T2","109.8","BDL","Campylobacter_GUPer100ml"
"100","A","107","C","30-T","248.4","BDL","Campylobacter_GUPer100ml"
"101","A","107","C","T2","192.6","BDL","Campylobacter_GUPer100ml"
"102","A","111","S","30-T","77.4","BDL","Campylobacter_GUPer100ml"
"103","A","111","S","T2","91.8","BDL","Campylobacter_GUPer100ml"
"104","A","112","P","30-T","63","BDL","Campylobacter_GUPer100ml"
"105","A","112","P","T2","93.6","BDL","Campylobacter_GUPer100ml"
"106","A","209","C","30-T","82.8","BDL","Campylobacter_GUPer100ml"
"107","A","209","C","T2","191.25","BDL","Campylobacter_GUPer100ml"
"108","A","210","S","T2","117","BDL","Campylobacter_GUPer100ml"
"109","A","307","C","30-T","117","BDL","Campylobacter_GUPer100ml"
"110","A","307","C","T2","79.2","BDL","Campylobacter_GUPer100ml"
"111","A","308","X","30-T","259.2","BDL","Campylobacter_GUPer100ml"
"112","A","308","X","T2","54","BDL","Campylobacter_GUPer100ml"
"113","A","407","X","30-T","228.6","BDL","Campylobacter_GUPer100ml"
"114","A","407","X","T2","138.6","BDL","Campylobacter_GUPer100ml"
"115","A","408","P","30-T","84.375","BDL","Campylobacter_GUPer100ml"
"116","A","408","P","T2","253.125","BDL","Campylobacter_GUPer100ml"
"117","A","105","X","30-T","91.8","BDL","Campylobacter_GUPer100ml"
"118","A","105","X","T2","117","BDL","Campylobacter_GUPer100ml"
"119","A","106","P","30-T","106.2","BDL","Campylobacter_GUPer100ml"
"120","A","106","P","T2","183.6","BDL","Campylobacter_GUPer100ml"
"121","A","503","C","30-T","68.4","BDL","Campylobacter_GUPer100ml"
"122","A","503","C","T2","113.4","BDL","Campylobacter_GUPer100ml"
"123","A","504","X","30-T","172.8","BDL","Campylobacter_GUPer100ml"
"124","A","504","X","T2","175.2228454","BDL","Campylobacter_GUPer100ml"
"125","A","201","P","30-T","217.8","BDL","Campylobacter_GUPer100ml"
"126","A","201","P","T2","185.4","BDL","Campylobacter_GUPer100ml"
"127","A","202","S","30-T","259.2","BDL","Campylobacter_GUPer100ml"
"128","A","202","S","T2","331.2","BDL","Campylobacter_GUPer100ml"
"129","A","401","S","30-T","266.4","BDL","Campylobacter_GUPer100ml"
"130","A","401","S","T2","95.4","BDL","Campylobacter_GUPer100ml"
"131","A","402","X","30-T","244.8","BDL","Campylobacter_GUPer100ml"
"132","A","402","X","T2","190.8","BDL","Campylobacter_GUPer100ml"
"133","A","403","C","30-T","237.6","BDL","Campylobacter_GUPer100ml"
"134","A","403","C","T2","313.2","BDL","Campylobacter_GUPer100ml"
"135","A","404","P","30-T","90","BDL","Campylobacter_GUPer100ml"
"136","A","404","P","T2","122.4","BDL","Campylobacter_GUPer100ml"
"137","A","409","C","30-T","117","BDL","Campylobacter_GUPer100ml"
"138","A","409","C","T2","144","BDL","Campylobacter_GUPer100ml"
"139","A","410","S","30-T","273.6","BDL","Campylobacter_GUPer100ml"
"140","A","410","S","T2","255.6","BDL","Campylobacter_GUPer100ml"
"141","A","102","P","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"142","A","102","P","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"143","A","107","C","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"144","A","107","C","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"145","A","107","C","T2","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"146","A","108","P","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"147","A","108","P","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"148","A","108","P","T2","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"149","A","109","C","40-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"150","A","203","P","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"151","A","204","X","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"152","A","205","C","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"153","A","205","C","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"154","A","205","C","T2-a","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"155","A","209","C","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"156","A","209","C","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"157","A","209","C","T2","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"158","A","307","C","T2","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"159","A","308","X","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"160","A","308","X","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"161","A","308","X","T2","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"162","A","403","C","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"163","A","410","S","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"164","A","501","X","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"165","A","501","X","T2","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"166","A","503","C","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"167","A","503","C","T2","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"168","A","504","X","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"169","A","504","X","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"170","A","504","X","T2","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml"
"171","A","101","S","15","37","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"172","A","101","S","30-T","41","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"173","A","101","S","T2","49","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"174","A","102","P","T2","1","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"175","A","104","X","15","0.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"176","A","104","X","T2","0.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"177","A","105","X","15","0.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"178","A","105","X","30-T","2.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"179","A","105","X","T2","0.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"180","A","106","P","15","108","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"181","A","106","P","30-T","73.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"182","A","106","P","T2","53.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"183","A","109","C","15","17","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"184","A","109","C","T2","3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"185","A","110","C","15","3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"186","A","110","C","T2-a","3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"187","A","110","C","T2-b","7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"188","A","111","S","15","58.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"189","A","111","S","30-T","17","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"190","A","111","S","T2","17","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"191","A","112","P","15","143","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"192","A","112","P","30-T","14.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"193","A","112","P","T2","9.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"194","A","201","P","15","50","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"195","A","201","P","30-T","30","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"196","A","201","P","T2","53.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"197","A","202","S","15","137","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"198","A","202","S","30-T","102","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"199","A","202","S","T2","87.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"200","A","203","P","30-T","3.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"201","A","203","P","T2","3.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"202","A","204","X","15","2","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"203","A","204","X","T2","0.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"204","A","206","P","15","6.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"205","A","206","P","30-T","3.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"206","A","206","P","T2","3.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"207","A","210","S","15","14.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"208","A","210","S","T2","46.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"209","A","307","C","15","0.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"210","A","307","C","30-T","0.6","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"211","A","401","S","15","23.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"212","A","401","S","30-T","25.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"213","A","401","S","T2","23","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"214","A","402","X","15","433","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"215","A","402","X","30-T","440","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"216","A","402","X","T2","337","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"217","A","403","C","30-T","2","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"218","A","403","C","T2","5","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"219","A","404","P","15","3.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"220","A","404","P","30-T","1.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"221","A","404","P","T2","3.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"222","A","405","X","15","7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"223","A","405","X","30-T","5.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"224","A","405","X","T2","3.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"225","A","406","S","15","507","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"226","A","406","S","30-T","423","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"227","A","406","S","T2-a","383","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"228","A","407","X","15","0.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"229","A","407","X","30-T","0.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"230","A","407","X","T2","1","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"231","A","408","P","15","76","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"232","A","408","P","30-T","5.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"233","A","408","P","T2","53.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"234","A","409","C","15","0.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"235","A","409","C","30-T","0.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"236","A","409","C","T2","0.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"237","A","410","S","15","46","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"238","A","410","S","T2","11.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"239","A","411","S","15","260","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"240","A","411","S","T2","139","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"241","A","412","C","15","6","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"242","A","412","C","T2","5.3","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"243","A","501","X","15","0.4","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"244","A","502","S","15","14.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"245","A","502","S","30-T","12.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"246","A","502","S","T2","12","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"247","A","503","C","30-T","0.7","WR","ClostridiumCulturable_mCP_CFUPer100ml"
"248","A","104","X","15","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"249","A","110","C","15","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"250","A","110","C","T2-a","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"251","A","110","C","T2-b","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"252","A","112","P","T2","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"253","A","203","P","15","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"254","A","204","X","15","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"255","A","205","C","15","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"256","A","206","P","15","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"257","A","209","C","30-T","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"258","A","406","S","15","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml"
"259","A","210","S","T2",NA,"TNTC","ClostridiumCulturable_TSCF_CFUPer100ml"
"260","A","101","S","15","30","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"261","A","101","S","30-T","59.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"262","A","101","S","T2","54.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"263","A","102","P","15","3.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"264","A","102","P","30-T","71.1","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"265","A","102","P","T2","66.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"266","A","104","X","T2","47","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"267","A","105","X","15","4","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"268","A","105","X","30-T","5.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"269","A","105","X","T2","2.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"270","A","106","P","15","135","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"271","A","106","P","30-T","123","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"272","A","106","P","T2","93.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"273","A","107","C","15","179","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"274","A","107","C","30-T","1050","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"275","A","107","C","T2","443","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"276","A","108","P","15","1399","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"277","A","108","P","30-T","1032","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"278","A","108","P","T2","573","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"279","A","109","C","15","10","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"280","A","109","C","40-T","3.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"281","A","109","C","T2","10","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"282","A","111","S","15","80","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"283","A","111","S","30-T","43.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"284","A","111","S","T2","63.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"285","A","112","P","15","9.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"286","A","112","P","30-T","2.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"287","A","201","P","15","66.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"288","A","201","P","30-T","43.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"289","A","201","P","T2","38.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"290","A","202","S","15","134","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"291","A","202","S","30-T","140","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"292","A","202","S","T2","140","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"293","A","203","P","30-T","643","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"294","A","203","P","T2","23.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"295","A","204","X","30-T","76.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"296","A","204","X","T2","36.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"297","A","205","C","30-T","20","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"298","A","205","C","T2-a","11.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"299","A","206","P","30-T","26.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"300","A","206","P","T2","13.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"301","A","209","C","15","3.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"302","A","209","C","T2","20","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"303","A","210","S","15","43.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"304","A","307","C","15","3.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"305","A","307","C","30-T","2","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"306","A","307","C","T2","1.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"307","A","308","X","15","1","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"308","A","308","X","30-T","7.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"309","A","308","X","T2","3.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"310","A","401","S","15","63.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"311","A","401","S","30-T","73.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"312","A","401","S","T2","67.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"313","A","402","X","15","1770","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"314","A","402","X","30-T","1780","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"315","A","402","X","T2","1357","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"316","A","403","C","15","82.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"317","A","403","C","30-T","138","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"318","A","403","C","T2","103","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"319","A","404","P","15","1120","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"320","A","404","P","30-T","773","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"321","A","404","P","T2","617","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"322","A","405","X","15","2.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"323","A","405","X","30-T","30.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"324","A","405","X","T2","37.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"325","A","406","S","30-T","457","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"326","A","406","S","T2-a","273","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"327","A","407","X","15","1.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"328","A","407","X","30-T","9.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"329","A","407","X","T2","2","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"330","A","408","P","15","17.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"331","A","408","P","30-T","26.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"332","A","408","P","T2","9.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"333","A","409","C","15","153","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"334","A","409","C","30-T","116","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"335","A","409","C","T2","84.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"336","A","410","S","15","197","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
"337","A","410","S","30-T","0","WR","ClostridiumCulturable_TSCF_CFUPer100ml"
