"","PlotID","season","Source","ElapsedTimeSinceRunoffStarted_Minutes","data","detection level","method","day","week"
"48","101","C","S","10","2280","WR","EColiCulturableColilert_MPNPer100ML",1,0
"49","101","C","S","60","1046200","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"50","101","C","S","30","1675","WR","EColiCulturableColilert_MPNPer100ML",1,0
"51","101","A","S","30-T","99","BDL","Campylobacter_GUPer100ml",1,0
"52","101","A","S","T2","203.4","BDL","Campylobacter_GUPer100ml",1,0
"53","101","C","S","60","1495","WR","EColiCulturableColilert_MPNPer100ML",1,0
"54","101","C","S","T1","1315","WR","EColiCulturableColilert_MPNPer100ML",1,0
"55","101","D","S","T2","246167","WR","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"56","101","B","S","15","107","WR","ClostridiumCulturable_CFUPer100ml",1,0
"57","101","D","S","30",NA,"ANP","X",1,0
"58","101","D","S","30-T1",NA,"ANP","X",1,0
"59","101","C","S","20","133010","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"60","101","A","S","30-T","99","BDL","EColiSTX1_GUPer100ml",1,0
"61","101","D","S","T1",NA,"ANP","X",1,0
"62","101","B","S","30-T","564666.6667","WR","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"63","101","B","S","5",NA,"ANP","enterococciQPCR_GU100ML",1,0
"64","101","B","S","10",NA,"ANP","enterococciQPCR_GU100ML",1,0
"65","101","B","S","20",NA,"ANP","enterococciQPCR_GU100ML",1,0
"66","101","B","S","30",NA,"ANP","enterococciQPCR_GU100ML",1,0
"67","101","B","S","60",NA,"ANP","enterococciQPCR_GU100ML",1,0
"68","101","A","S","T2","2.7","BDL","Giardia_CystsPer100ml",1,0
"69","101","B","S","T2","1031.25","WR","Giardia_CystsPer100ml",1,0
"70","101","B","S","T2","23750","WR","Crypto_OocystsPer100ml",1,0
"71","101","A","S","10","45.2","WR","EColiCulturableColilert_MPNPer100ML",1,0
"72","101","D","S","5",NA,"ANP","X",1,0
"73","101","C","S","30-T2",NA,"ANP","EColiSTX1_GUPer100ml",1,0
"74","101","D","S","T2","0","ANP","asdf",1,0
"75","101","A","S","60","14.8","WR","EColiCulturableColilert_MPNPer100ML",1,0
"76","101","A","S","T1",NA,"ANP","EColiCulturableColilert_MPNPer100ML",1,0
"77","101","B","S","T2","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"78","101","C","S","30-T2",NA,"ANP","ClostridiumCulturable_CFUPer100ml",1,0
"79","101","D","S","30-T2",NA,"ANP","X",1,0
"80","101","B","S","30","0.5","BDL","enterococciCulturableMEI_CFUPer100ML",1,0
"81","101","C","S","15",NA,"ANP","SalmonellaQPCR_GUPer100ml",1,0
"82","101","C","S","30-T2",NA,"ANP","SalmonellaQPCR_GUPer100ml",1,0
"83","101","B","S","30-T","240000","WR","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"84","101","B","S","T2","93000","WR","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"85","101","D","S","30-T2","0","ANP","asdf",1,0
"86","101","B","S","T2","46","WR","ClostridiumCulturable_CFUPer100ml",1,0
"87","101","B","S","T2","290","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"88","101","C","S","15",NA,"ANP","Crypto_OocystsPer100ml",1,0
"89","101","D","S","30-T2","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"90","101","D","S","T2","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"91","101","B","S","10","0.5","BDL","enterococciCulturableMEI_CFUPer100ML",1,0
"92","101","B","S","20","0.5","BDL","enterococciCulturableMEI_CFUPer100ML",1,0
"93","101","B","S","T2","10302","BQL","SalmonellaQPCR_GUPer100ml",1,0
"94","101","B","S","60","0.5","BDL","enterococciCulturableMEI_CFUPer100ML",1,0
"95","101","D","S","30-T2","0","ANP","asdf",1,0
"96","101","D","S","10",NA,"ANP","X",1,0
"97","101","D","S","20",NA,"ANP","X",1,0
"98","101","A","S","T2","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"99","101","A","S","20",NA,"ANP","EColiCulturableColilert_MPNPer100ML",1,0
"100","101","A","S","30","24","WR","EColiCulturableColilert_MPNPer100ML",1,0
"101","101","C","S","15","0","ANP","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"102","101","C","S","30-T2","346500","WR","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"103","101","A","S","30-T","99","BDL","EColiSTX2_GUPer100ml",1,0
"104","101","A","S","T2","203","BDL","EColiSTX2_GUPer100ml",1,0
"105","101","B","S","30-T","25939","BQL","SalmonellaQPCR_GUPer100ml",1,0
"106","101","A","S","60","50031.2","WR","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"107","101","D","S","10","1413600","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"108","101","B","S","30-T","225","WR","Giardia_CystsPer100ml",1,0
"109","101","B","S","T1",NA,"ANP","enterococciQPCR_GU100ML",1,0
"110","101","B","S","T2","293.4","BDL","Campylobacter_GUPer100ml",1,0
"111","101","B","S","60","241960","TNTC","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"112","101","B","S","15","723","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"113","101","B","S","30-T","377","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"114","101","D","S","15","148","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"115","101","A","S","T2","203","BDL","EColiSTX1_GUPer100ml",1,0
"116","101","C","S","15",NA,"ANP","Giardia_CystsPer100ml",1,0
"117","101","D","S","T2","896.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"118","101","C","S","T1","12350","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"119","101","D","S","T2","0","ANP","asdf",1,0
"120","101","A","S","T1",NA,"ANP","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"121","101","C","S","30-T2",NA,"ANP","Campylobacter_GUPer100ml",1,0
"122","101","C","S","30-T2","15333.333","WR","Crypto_OocystsPer100ml",1,0
"123","101","C","S","T2",NA,"ANP","SalmonellaQPCR_GUPer100ml",1,0
"124","101","B","S","T2","6","WR","EColi0157Culturable_MPNPer100ml",1,0
"125","101","A","S","60","500","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"126","101","B","S","30-T","78","WR","ClostridiumCulturable_CFUPer100ml",1,0
"127","101","C","S","30-T2","3","BDL","EColi0157Culturable_MPNPer100ml",1,0
"128","101","A","S","5","17624.13333","WR","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"129","101","A","S","10","92040","WR","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"130","101","A","S","20",NA,"ANP","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"131","101","A","S","30","98040","WR","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"132","101","D","S","T2",NA,"ANP","X",1,0
"133","101","B","S","60","0.5","BDL","EColiCulturableColilert_MPNPer100ML",1,0
"134","101","B","S","T1","0.5","BDL","EColiCulturableColilert_MPNPer100ML",1,0
"135","101","C","S","T2","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"136","101","C","S","T1","1986300","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"137","101","D","S","T2","0","ANP","asdf",1,0
"138","101","C","S","30",NA,"ANP","enterococciQPCR_GU100ML",1,0
"139","101","C","S","5","13750","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"140","101","C","S","10","18300","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"141","101","C","S","T2",NA,"ANP","EColiSTX2_GUPer100ml",1,0
"142","101","C","S","15","0","ANP","EColi0157Culturable_MPNPer100ml",1,0
"143","101","C","S","T2","243667","WR","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"144","101","C","S","T2",NA,"ANP","Ecoli_eae_GUPer100ml",1,0
"145","101","D","S","5","13866.66667","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"146","101","D","S","60","22000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"147","101","A","S","5","500","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"148","101","B","S","30","241960","TNTC","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"149","101","C","S","30-T2","240000","WR","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"150","101","B","S","30-T","540","BDL","Campylobacter_GUPer100ml",1,0
"151","101","A","S","T2","54.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"152","101","C","S","30-T1",NA,"ANP","enterococciQPCR_GU100ML",1,0
"153","101","C","S","60",NA,"ANP","enterococciQPCR_GU100ML",1,0
"154","101","A","S","30-T","784","BQL","SalmonellaQPCR_GUPer100ml",1,0
"155","101","A","S","T2","2092","WR","SalmonellaQPCR_GUPer100ml",1,0
"156","101","D","S","30-T2","1330","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"157","101","C","S","30-T1","15100","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"158","101","C","S","15","250","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"159","101","B","S","5","241960","TNTC","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"160","101","B","S","10","241960","TNTC","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"161","101","A","S","10","1000","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"162","101","C","S","T2",NA,"ANP","ClostridiumCulturable_CFUPer100ml",1,0
"163","101","C","S","T2","14000","WR","Crypto_OocystsPer100ml",1,0
"164","101","C","S","T2","9.2","WR","EColi0157Culturable_MPNPer100ml",1,0
"165","101","A","S","30-T","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"166","101","B","S","T1","0.5","BDL","enterococciCulturableMEI_CFUPer100ML",1,0
"167","101","A","S","30-T","99","BDL","Ecoli_eae_GUPer100ml",1,0
"168","101","A","S","T2","203","BDL","Ecoli_eae_GUPer100ml",1,0
"169","101","D","S","30","20000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"170","101","D","S","30-T1","33000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"171","101","C","S","T2","49.58677686","WR","Giardia_CystsPer100ml",1,0
"172","101","B","S","30-T","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"173","101","D","S","30-T1","1610","WR","EColiCulturableColilert_MPNPer100ML",1,0
"174","101","B","S","20","241960","TNTC","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"175","101","A","S","20","0","ANP","enterococciCulturableMEI_CFUPer100ML",1,0
"176","101","D","S","T1","1365","WR","EColiCulturableColilert_MPNPer100ML",1,0
"177","101","C","S","15",NA,"ANP","SalmonellaCulturableWildType_MPNPer100ml",1,0
"178","101","B","S","T2","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"179","101","B","S","30-T","58125","WR","Crypto_OocystsPer100ml",1,0
"180","101","A","S","30","500","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"181","101","C","S","20",NA,"ANP","enterococciQPCR_GU100ML",1,0
"182","101","C","S","30-T2","179.245283","WR","Giardia_CystsPer100ml",1,0
"183","101","D","S","30-T2",NA,"ANP","X",1,0
"184","101","D","S","30","2130","WR","EColiCulturableColilert_MPNPer100ML",1,0
"185","101","B","S","5","0.5","BDL","enterococciCulturableMEI_CFUPer100ML",1,0
"186","101","C","S","30-T2","120","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"187","101","D","S","5","1713.333333","WR","EColiCulturableColilert_MPNPer100ML",1,0
"188","101","C","S","T2","1100000","TNTC","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"189","101","A","S","T2","3","BDL","Crypto_OocystsPer100ml",1,0
"190","101","C","S","15","0","ANP","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"191","101","C","S","5","1850","WR","EColiCulturableColilert_MPNPer100ML",1,0
"192","101","B","S","30-T","3","BDL","EColi0157Culturable_MPNPer100ml",1,0
"193","101","C","S","10",NA,"ANP","enterococciQPCR_GU100ML",1,0
"194","101","D","S","T2",NA,"ANP","X",1,0
"195","101","D","S","30-T2","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"196","101","C","S","30","20000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"197","101","C","S","15",NA,"ANP","EColiSTX2_GUPer100ml",1,0
"198","101","D","S","T2","21000","WR","Giardia_CystsPer100ml",1,0
"199","101","D","S","T2","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"200","101","C","S","T2","120","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"201","101","A","S","30-T","3","BDL","Crypto_OocystsPer100ml",1,0
"202","101","C","S","30-T1","1485","WR","EColiCulturableColilert_MPNPer100ML",1,0
"203","101","D","S","T1","26000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"204","101","C","S","10","92565","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"205","101","B","S","30-T","540","BDL","EColiSTX1_GUPer100ml",1,0
"206","101","D","S","20","30000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"207","101","C","S","30-T2",NA,"ANP","EColiSTX2_GUPer100ml",1,0
"208","101","C","S","T1",NA,"ANP","enterococciQPCR_GU100ML",1,0
"209","101","D","S","20","3755","WR","EColiCulturableColilert_MPNPer100ML",1,0
"210","101","B","S","30","0.5","BDL","EColiCulturableColilert_MPNPer100ML",1,0
"211","101","C","S","15",NA,"ANP","Campylobacter_GUPer100ml",1,0
"212","101","C","S","15",NA,"ANP","Ecoli_eae_GUPer100ml",1,0
"213","101","C","S","20","1675","WR","EColiCulturableColilert_MPNPer100ML",1,0
"214","101","D","S","60","1350","WR","EColiCulturableColilert_MPNPer100ML",1,0
"215","101","C","S","5","193745","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"216","101","D","S","10","2155","WR","EColiCulturableColilert_MPNPer100ML",1,0
"217","101","B","S","30-T","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"218","101","C","S","20","13100","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"219","101","B","S","20","0.5","BDL","EColiCulturableColilert_MPNPer100ML",1,0
"220","101","D","S","30-T2","26000","WR","Giardia_CystsPer100ml",1,0
"221","101","C","S","15",NA,"ANP","EColiSTX1_GUPer100ml",1,0
"222","101","C","S","30-T2",NA,"ANP","Ecoli_eae_GUPer100ml",1,0
"223","101","D","S","10","24000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"224","101","B","S","T2","236666.6667","WR","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"225","102","B","P","T2","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"226","102","C","P","30-T2",NA,"ANP","SalmonellaQPCR_GUPer100ml",1,0
"227","102","D","P","T2",NA,"ANP","asdf",1,0
"228","102","B","P","T2","378","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"229","102","A","P","30-T",NA,"ANP","Ecoli_eae_GUPer100ml",1,0
"230","102","D","P","5","241960","TNTC","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"231","102","B","P","30-T","3","BDL","EColi0157Culturable_MPNPer100ml",1,0
"232","102","B","P","15","96","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"233","102","C","P","60","115500","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"234","102","A","P","T2",NA,"ANP","Ecoli_eae_GUPer100ml",1,0
"235","102","C","P","15",NA,"ANP","EColiSTX1_GUPer100ml",1,0
"236","102","A","P","30-T","6.1","WR","EColi0157Culturable_MPNPer100ml",1,0
"237","102","C","P","T1","95000","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"238","102","D","P","30-T2","150.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"239","102","C","P","15",NA,"ANP","ClostridiumCulturable_CFUPer100ml",1,0
"240","102","A","P","20",NA,"ANP","EColiCulturableColilert_MPNPer100ML",1,0
"241","102","A","P","T2","15","WR","EColi0157Culturable_MPNPer100ml",1,0
"242","102","C","P","T2",NA,"ANP","SalmonellaQPCR_GUPer100ml",1,0
"243","102","D","P","T1","241960","TNTC","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"244","102","D","P","T2","1100000","WR","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"245","102","A","P","30-T","71.1","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"246","102","A","P","T1",NA,"ANP","EColiCulturableColilert_MPNPer100ML",1,0
"247","102","A","P","30","14970","WR","EColiCulturableColilert_MPNPer100ML",1,0
"248","102","D","P","T2",NA,"ANP","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"249","102","A","P","15","3.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"250","102","C","P","10",NA,"ANP","enterococciQPCR_GU100ML",1,0
"251","102","D","P","60","241960","TNTC","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"252","102","A","P","15","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml",1,0
"253","102","A","P","10","821.2","WR","EColiCulturableColilert_MPNPer100ML",1,0
"254","102","B","P","30-T","399","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"255","102","C","P","5",NA,"ANP","enterococciQPCR_GU100ML",1,0
"256","102","D","P","30","241960","TNTC","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"257","102","A","P","30-T","0","BDL","ClostridiumCulturable_mCP_CFUPer100ml",1,0
"258","102","D","P","30-T2","240000","WR","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"259","102","B","P","T2",NA,"ANP","Ecoli_eae_GUPer100ml",1,0
"260","102","A","P","5","20138.7","WR","EColiCulturableColilert_MPNPer100ML",1,0
"261","102","D","P","T2","82.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"262","102","D","P","30-T1","241960","TNTC","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"263","102","D","P","30-T2",NA,"ANP","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"264","102","A","P","T2","66.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"265","102","C","P","30-T2",NA,"ANP","ClostridiumCulturable_CFUPer100ml",1,0
"266","102","C","P","30","250000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"267","102","B","P","30-T",NA,"ANP","EColiSTX2_GUPer100ml",1,0
"268","102","B","P","30-T","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"269","102","D","P","T1","11250","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"270","102","C","P","5","169000","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"271","102","C","P","T2",NA,"ANP","Giardia_CystsPer100ml",1,0
"272","102","B","P","T1","387300","WR","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"273","102","A","P","30-T","16","WR","CampylobacterCulturable_MPNPer100ml",1,0
"274","102","D","P","T2",NA,"WR","EColi0157Culturable_MPNPer100ml",1,0
"275","102","D","P","20","22000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"276","102","D","P","10","241960","TNTC","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"277","102","C","P","20","157000","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"278","102","D","P","30-T2","0","ANP","asdf",1,0
"279","102","B","P","30-T","1100000","TNTC","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"280","102","C","P","15",NA,"ANP","SalmonellaQPCR_GUPer100ml",1,0
"281","102","C","P","15",NA,"ANP","EColiSTX2_GUPer100ml",1,0
"282","102","B","P","30","427530","WR","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"283","102","D","P","30-T1","18933.33333","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"284","102","D","P","30-T2","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"285","102","D","P","20","241960","TNTC","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"286","102","C","P","20","22949.6","WR","EColiCulturableColilert_MPNPer100ML",1,0
"287","102","D","P","5","17600","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"288","102","A","P","T2","290","WR","CampylobacterCulturable_MPNPer100ml",1,0
"289","102","B","P","T2","3","BDL","EColi0157Culturable_MPNPer100ml",1,0
"290","102","C","P","30-T1","149500","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"291","102","C","P","10","170000","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"292","102","D","P","T2",NA,"ANP","X",1,0
"293","102","C","P","30-T2",NA,"ANP","EColiSTX2_GUPer100ml",1,0
"294","102","C","P","T2",NA,"ANP","EColiSTX1_GUPer100ml",1,0
"295","102","B","P","10","1553100","WR","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"296","102","D","P","15","110","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"297","102","C","P","30-T1","29794.6","WR","EColiCulturableColilert_MPNPer100ML",1,0
"298","102","D","P","30","13000","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"299","102","C","P","60",NA,"ANP","enterococciQPCR_GU100ML",1,0
"300","102","D","P","20","120.1","WR","EColiCulturableColilert_MPNPer100ML",1,0
"301","102","A","P","60","15760","WR","EColiCulturableColilert_MPNPer100ML",1,0
"302","102","C","P","T2",NA,"ANP","ClostridiumCulturable_CFUPer100ml",1,0
"303","102","C","P","15",NA,"ANP","Giardia_CystsPer100ml",1,0
"304","102","C","P","T2","0","ANP","EColi0157Culturable_MPNPer100ml",1,0
"305","102","B","P","30-T",NA,"ANP","Ecoli_eae_GUPer100ml",1,0
"306","102","D","P","30-T2",NA,"ANP","X",1,0
"307","102","A","P","30-T",NA,"ANP","EColiSTX1_GUPer100ml",1,0
"308","102","C","P","T2",NA,"ANP","Crypto_OocystsPer100ml",1,0
"309","102","C","P","5","54447.53333","WR","EColiCulturableColilert_MPNPer100ML",1,0
"310","102","C","P","30","25474.6","WR","EColiCulturableColilert_MPNPer100ML",1,0
"311","102","D","P","T2","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"312","102","A","P","T2","54","BDL","Campylobacter_GUPer100ml",1,0
"313","102","A","P","30-T","565.4737012","BQL","Campylobacter_GUPer100ml",1,0
"314","102","D","P","30-T2",NA,"WR","EColi0157Culturable_MPNPer100ml",1,0
"315","102","C","P","20",NA,"ANP","enterococciQPCR_GU100ML",1,0
"316","102","D","P","30","24.2","WR","EColiCulturableColilert_MPNPer100ML",1,0
"317","102","C","P","30-T2",NA,"ANP","Giardia_CystsPer100ml",1,0
"318","102","C","P","T2",NA,"ANP","EColiSTX2_GUPer100ml",1,0
"319","102","B","P","30-T","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"320","102","B","P","T1",NA,"ANP","enterococciQPCR_GU100ML",1,0
"321","102","B","P","60",NA,"ANP","enterococciQPCR_GU100ML",1,0
"322","102","D","P","30-T1",NA,"ANP","X",1,0
"323","102","C","P","15",NA,"ANP","Crypto_OocystsPer100ml",1,0
"324","102","D","P","T2","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"325","102","B","P","30-T","360333.3333","WR","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"326","102","B","P","10","60000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"327","102","D","P","10","21000","WR","enterococciCulturableMEI_CFUPer100ML",1,0
"328","102","B","P","T2","6100","WR","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"329","102","C","P","T2",NA,"ANP","EColi0157SurrogateCulturable_CFUPer100ml",1,0
