"","season","PlotID","Source","ElapsedTimeSinceUnewRunoffStarted_Minutes","data","proxy","detection level","method","detection frequency","type of mictobes","analysis type","amended field","names of microbes"
"1462","D","109","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1463","D","109","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1478","D","205","C","30","3.6","3.6","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"1479","D","205","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1482","D","209","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1483","D","209","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1486","D","307","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1487","D","307","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1502","D","409","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1506","D","412","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1507","D","412","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1512","D","503","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1513","D","503","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"2698","B","109","C","30","43","43","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","1","Campylobacter"
"2699","B","109","C","60","240","240","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","1","Campylobacter"
"2706","B","205","C","30","1100","1100","TNTC","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","1","Campylobacter"
"2707","B","205","C","60","1100","1100","TNTC","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","1","Campylobacter"
"2720","B","412","C","30","1100","1100","TNTC","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","1","Campylobacter"
"2721","B","412","C","60","1100","1100","TNTC","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","1","Campylobacter"
"2722","B","107","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","1","Campylobacter"
"2723","B","107","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","1","Campylobacter"
"2734","B","209","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","1","Campylobacter"
"2735","B","209","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"2738","B","307","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"2739","B","307","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"2750","B","503","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"2751","B","503","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"2762","B","403","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"2763","B","403","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"2766","B","409","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"2767","B","409","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4407","C","107","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4408","C","107","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4411","C","109","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4412","C","109","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4427","C","205","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4428","C","205","C","60","4","4","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"4431","C","209","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4432","C","209","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4435","C","307","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4436","C","307","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4443","C","403","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4444","C","403","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4455","C","409","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4456","C","409","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4461","C","412","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4462","C","412","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4467","C","503","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"4468","C","503","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"249","A","110","C","15","0","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml","0","indicator","culturable","1","Clostridium"
"250","A","110","C","60","0","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml","0","indicator","culturable","1","Clostridium"
"251","A","110","C","60","0","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml","0","indicator","culturable","1","Clostridium"
"255","A","205","C","15","0","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml","0","indicator","culturable","1","Clostridium"
"257","A","209","C","30","0","0","BDL","ClostridiumCulturable_TSCF_CFUPer100ml","0","indicator","culturable","1","Clostridium"
"272","A","107","C","15","179","179","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"273","A","107","C","30","1050","1050","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"274","A","107","C","60","443","443","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"278","A","109","C","15","10","10","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"279","A","109","C","30","3.3","3.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"280","A","109","C","60","10","10","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"296","A","205","C","30","20","20","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"297","A","205","C","60","11.7","11.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"300","A","209","C","15","3.3","3.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"301","A","209","C","60","20","20","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"303","A","307","C","15","3.3","3.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"304","A","307","C","30","2","2","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"305","A","307","C","60","1.7","1.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"315","A","403","C","15","82.3","82.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"316","A","403","C","30","138","138","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"317","A","403","C","60","103","103","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"332","A","409","C","15","153","153","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"333","A","409","C","30","116","116","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"334","A","409","C","60","84.3","84.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"340","A","412","C","15","5.3","5.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"341","A","412","C","60","17.3","17.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"348","A","503","C","15","7.3","7.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"349","A","503","C","30","304","304","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"350","A","503","C","60","214","214","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1528","D","107","C","15","10.67","10.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1529","D","107","C","30","6.33","6.33","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1530","D","107","C","60","7","7","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1534","D","109","C","15","53.33","53.33","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1535","D","109","C","30","123.33","123.33","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1536","D","109","C","60","84.67","84.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1558","D","205","C","15","149.17","149.17","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1559","D","205","C","30","150","150","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1560","D","205","C","60","96.67","96.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1563","D","209","C","15","20","20","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1564","D","209","C","30","11.67","11.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1565","D","209","C","60","153.67","153.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1569","D","307","C","15","35","35","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1570","D","307","C","30","42.67","42.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1571","D","307","C","60","23.67","23.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1594","D","409","C","60","0.13","0.13","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1600","D","412","C","15","52.67","52.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1601","D","412","C","30","2","2","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1602","D","412","C","60","6.67","6.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1609","D","503","C","15","1.33","1.33","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1610","D","503","C","30","0.67","0.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"1611","D","503","C","60","1.33","1.33","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3024","B","109","C","15","443","443","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3025","B","109","C","30","488","488","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3026","B","109","C","60","363","363","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3036","B","205","C","15","130","130","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3037","B","205","C","30","3","3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3038","B","205","C","60","0","0","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3057","B","412","C","15","387","387","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3058","B","412","C","30","0","0","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3059","B","412","C","60","70","70","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3060","B","107","C","30","85","85","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3061","B","107","C","60","159","159","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3068","B","107","C","15","244","244","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3076","B","209","C","30","366","366","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3077","B","209","C","60","278","278","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3082","B","209","C","15","445","445","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3084","B","307","C","30","2","2","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3085","B","307","C","60","1","1","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3092","B","307","C","15","10","10","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3100","B","503","C","30","97","97","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3101","B","503","C","60","188","188","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3106","B","503","C","15","62","62","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3120","B","403","C","30","71","71","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3121","B","403","C","60","31","31","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"3124","B","409","C","30","92","92","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"3125","B","409","C","60","65","65","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"3128","B","403","C","15","41","41","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"3130","B","409","C","15","39","39","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium"
"4482","C","107","C","15","0","0","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4483","C","107","C","30","0","0","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4484","C","107","C","60","0","0","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4488","C","109","C","15","140","140","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4489","C","109","C","30","170","170","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4490","C","109","C","60","140","140","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4512","C","205","C","15","510","510","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4513","C","205","C","30","440","440","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4514","C","205","C","60","330","330","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4517","C","209","C","15","0","0","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4518","C","209","C","30","0","0","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4519","C","209","C","60","0","0","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4523","C","307","C","15","1.6","1.6","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4524","C","307","C","30","1.4","1.4","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4525","C","307","C","60","2.1","2.1","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4529","C","403","C","15","0.53","0.53","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4530","C","403","C","30","4.3","4.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4531","C","403","C","60","12","12","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4547","C","409","C","15","0.4","0.4","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4548","C","409","C","30","0.53","0.53","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4549","C","409","C","60","0.13","0.13","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4556","C","412","C","15","53","53","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4557","C","412","C","30","75","75","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4558","C","412","C","60","180","180","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4565","C","503","C","15","1.3","1.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4566","C","503","C","30","0.89","0.89","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"4567","C","503","C","60","1.4","1.4","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium"
"359","A","107","C","30","3","1.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"360","A","107","C","60","2","1","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"361","A","109","C","30","5","2.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"362","A","109","C","60","5","2.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"363","A","110","C","60","10","5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"364","A","110","C","60","5","2.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"371","A","205","C","30","10","5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"372","A","205","C","60","10","5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"373","A","209","C","30","2","1","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"374","A","209","C","60","2","1","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"376","A","307","C","30","6","3","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"377","A","307","C","60","3","1.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"384","A","403","C","30","4","2","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"385","A","403","C","60","3","1.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"392","A","409","C","30","3","1.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"393","A","409","C","60","2","1","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"397","A","412","C","60","5","2.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"402","A","503","C","30","4","2","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"403","A","503","C","60","4","2","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"1619","D","107","C","30","9.8","9.8","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1620","D","107","C","60","23.5","23.5","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1621","D","109","C","30","504000","504000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1622","D","109","C","60","370000","370000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1631","D","205","C","30","974000","974000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1632","D","205","C","60","532000","532000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1633","D","209","C","30","8.3","8.3","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1634","D","209","C","60","123.5","123.5","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1637","D","307","C","30","1000","1000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1638","D","307","C","60","558.8","558.8","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1654","D","412","C","30","162000","162000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1655","D","412","C","60","228000","228000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1660","D","503","C","30","7.5","7.5","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"1661","D","503","C","60","18.2","18.2","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"3132","B","109","C","30","3480","3480","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3133","B","109","C","60","2300","2300","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3138","B","205","C","30","2700","2700","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3139","B","205","C","60","1980","1980","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3148","B","412","C","30","1240","1240","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3149","B","412","C","60","760","760","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3150","B","107","C","30","20","20","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3151","B","107","C","60","16","16","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
