"","proxy","week","PlotID","season","method","Source","detectionfreq1","type of mictobes","analysis type","names of microbes","day"
"34","1100","0","412","D","EColi0157Culturable_MPNPer100ml","C","2/67",NA,NA,NA,"3"
"35","12","2","409","D","EColi0157Culturable_MPNPer100ml","C","1/68",NA,NA,NA,"3"
"36","3.75","2","503","D","EColi0157Culturable_MPNPer100ml","C","1/70",NA,NA,NA,"1"
"37","1546683.33333333","1","107","A","EColiCulturableColilert_MPNPer100ML","C","6/76",NA,NA,NA,"1"
"38","1017.5","1","209","A","EColiCulturableColilert_MPNPer100ML","C","6/82",NA,NA,NA,"2"
"39","1627.22222216667","1","307","A","EColiCulturableColilert_MPNPer100ML","C","6/88",NA,NA,NA,"3"
"40","108237.74","0","109","A","EColiCulturableColilert_MPNPer100ML","C","5/93",NA,NA,NA,"1"
"41","139653.766666667","0","110","A","EColiCulturableColilert_MPNPer100ML","C","6/99",NA,NA,NA,"1"
"42","88035.8333333333","0","205","A","EColiCulturableColilert_MPNPer100ML","C","6/105",NA,NA,NA,"2"
"43","1391.26666666667","0","412","A","EColiCulturableColilert_MPNPer100ML","C","6/111",NA,NA,NA,"3"
"44","21070.8333333333","2","403","A","EColiCulturableColilert_MPNPer100ML","C","6/117",NA,NA,NA,"3"
"45","7464.16666666667","2","409","A","EColiCulturableColilert_MPNPer100ML","C","6/123",NA,NA,NA,"3"
"46","12187.5","2","503","A","EColiCulturableColilert_MPNPer100ML","C","6/129",NA,NA,NA,"1"
"47","1209250","1","107","B","EColiCulturableColilert_MPNPer100ML","C","6/135",NA,NA,NA,"1"
"48","246260.833333333","1","209","B","EColiCulturableColilert_MPNPer100ML","C","6/141",NA,NA,NA,"2"
"49","172344.722216667","1","307","B","EColiCulturableColilert_MPNPer100ML","C","6/147",NA,NA,NA,"3"
"50","1241450","0","109","B","EColiCulturableColilert_MPNPer100ML","C","6/153",NA,NA,NA,"1"
"51","200489.44445","0","205","B","EColiCulturableColilert_MPNPer100ML","C","6/159",NA,NA,NA,"2"
"52","1357116.66666667","0","412","B","EColiCulturableColilert_MPNPer100ML","C","6/165",NA,NA,NA,"3"
"53","11666777.7783333","2","403","B","EColiCulturableColilert_MPNPer100ML","C","6/171",NA,NA,NA,"3"
"54","16936833.3333333","2","409","B","EColiCulturableColilert_MPNPer100ML","C","6/177",NA,NA,NA,"3"
"55","30041666.6666667","2","503","B","EColiCulturableColilert_MPNPer100ML","C","6/183",NA,NA,NA,"1"
"56","1786.19047618571","1","107","C","EColiCulturableColilert_MPNPer100ML","C","7/190",NA,NA,NA,"1"
"57","1447.85714285714","1","209","C","EColiCulturableColilert_MPNPer100ML","C","7/197",NA,NA,NA,"2"
"58","4197.547619","1","307","C","EColiCulturableColilert_MPNPer100ML","C","7/204",NA,NA,NA,"3"
"59","19928.3333328571","0","109","C","EColiCulturableColilert_MPNPer100ML","C","7/211",NA,NA,NA,"1"
"60","18621.4285714286","0","205","C","EColiCulturableColilert_MPNPer100ML","C","7/218",NA,NA,NA,"2"
"61","8519.28571428571","0","412","C","EColiCulturableColilert_MPNPer100ML","C","7/225",NA,NA,NA,"3"
"62","733.2520833375","2","403","C","EColiCulturableColilert_MPNPer100ML","C","8/233",NA,NA,NA,"3"
"63","550.80625","2","409","C","EColiCulturableColilert_MPNPer100ML","C","8/241",NA,NA,NA,"3"
"64","459.142857142857","2","503","C","EColiCulturableColilert_MPNPer100ML","C","7/248",NA,NA,NA,"1"
"65","850.285714285714","1","107","D","EColiCulturableColilert_MPNPer100ML","C","7/255",NA,NA,NA,"1"
"66","360.357142857143","1","209","D","EColiCulturableColilert_MPNPer100ML","C","7/262",NA,NA,NA,"2"
"67","4197.547619","1","307","D","EColiCulturableColilert_MPNPer100ML","C","7/269",NA,NA,NA,"3"
"68","23701.4285714286","0","109","D","EColiCulturableColilert_MPNPer100ML","C","7/276",NA,NA,NA,"1"
"69","15383.0952385714","0","205","D","EColiCulturableColilert_MPNPer100ML","C","7/283",NA,NA,NA,"2"
"70","3017.38095242857","0","412","D","EColiCulturableColilert_MPNPer100ML","C","7/290",NA,NA,NA,"3"
"71","145.988888888333","2","409","D","EColiCulturableColilert_MPNPer100ML","C","6/296",NA,NA,NA,"3"
"72","352.023809528571","2","503","D","EColiCulturableColilert_MPNPer100ML","C","7/303",NA,NA,NA,"1"
"73","1.265","1","107","A","CampylobacterCulturable_MPNPer100ml","C","2/305",NA,NA,NA,"1"
"74","0.205","1","209","A","CampylobacterCulturable_MPNPer100ml","C","0/307",NA,NA,NA,"2"
"75","1.5","1","307","A","CampylobacterCulturable_MPNPer100ml","C","2/309",NA,NA,NA,"3"
"76","61","0","109","A","CampylobacterCulturable_MPNPer100ml","C","2/311",NA,NA,NA,"1"
"77","61","0","110","A","CampylobacterCulturable_MPNPer100ml","C","2/313",NA,NA,NA,"1"
"78","131.5","0","205","A","CampylobacterCulturable_MPNPer100ml","C","2/315",NA,NA,NA,"2"
"79","21","0","412","A","CampylobacterCulturable_MPNPer100ml","C","1/316",NA,NA,NA,"3"
"80","47.5","2","403","A","CampylobacterCulturable_MPNPer100ml","C","2/318",NA,NA,NA,"3"
"81","0.8","2","409","A","CampylobacterCulturable_MPNPer100ml","C","2/320",NA,NA,NA,"3"
"82","0.965","2","503","A","CampylobacterCulturable_MPNPer100ml","C","2/322",NA,NA,NA,"1"
"83","1.5","1","107","B","CampylobacterCulturable_MPNPer100ml","C","0/324",NA,NA,NA,"1"
"84","1.5","1","209","B","CampylobacterCulturable_MPNPer100ml","C","0/326",NA,NA,NA,"2"
"85","1.5","1","307","B","CampylobacterCulturable_MPNPer100ml","C","0/328",NA,NA,NA,"3"
"86","141.5","0","109","B","CampylobacterCulturable_MPNPer100ml","C","2/330",NA,NA,NA,"1"
"87","1100","0","205","B","CampylobacterCulturable_MPNPer100ml","C","2/332",NA,NA,NA,"2"
"88","1100","0","412","B","CampylobacterCulturable_MPNPer100ml","C","2/334",NA,NA,NA,"3"
"89","1.5","2","403","B","CampylobacterCulturable_MPNPer100ml","C","0/336",NA,NA,NA,"3"
"90","1.5","2","409","B","CampylobacterCulturable_MPNPer100ml","C","0/338",NA,NA,NA,"3"
"91","1.5","2","503","B","CampylobacterCulturable_MPNPer100ml","C","0/340",NA,NA,NA,"1"
"92","1.5","1","107","C","CampylobacterCulturable_MPNPer100ml","C","0/342",NA,NA,NA,"1"
"93","1.5","1","209","C","CampylobacterCulturable_MPNPer100ml","C","0/344",NA,NA,NA,"2"
"94","1.5","1","307","C","CampylobacterCulturable_MPNPer100ml","C","0/346",NA,NA,NA,"3"
"95","1.5","0","109","C","CampylobacterCulturable_MPNPer100ml","C","0/348",NA,NA,NA,"1"
"96","2.75","0","205","C","CampylobacterCulturable_MPNPer100ml","C","1/350",NA,NA,NA,"2"
"97","1.5","0","412","C","CampylobacterCulturable_MPNPer100ml","C","0/352",NA,NA,NA,"3"
"98","1.5","2","403","C","CampylobacterCulturable_MPNPer100ml","C","0/354",NA,NA,NA,"3"
"99","1.5","2","409","C","CampylobacterCulturable_MPNPer100ml","C","0/356",NA,NA,NA,"3"
"100","1.5","2","503","C","CampylobacterCulturable_MPNPer100ml","C","0/358",NA,NA,NA,"1"
"101","1.5","1","107","D","CampylobacterCulturable_MPNPer100ml","C","0/360",NA,NA,NA,"1"
"102","1.5","1","209","D","CampylobacterCulturable_MPNPer100ml","C","0/362",NA,NA,NA,"2"
"103","1.5","1","307","D","CampylobacterCulturable_MPNPer100ml","C","0/364",NA,NA,NA,"3"
"104","1.5","0","109","D","CampylobacterCulturable_MPNPer100ml","C","0/366",NA,NA,NA,"1"
"105","2.55","0","205","D","CampylobacterCulturable_MPNPer100ml","C","1/368",NA,NA,NA,"2"
"106","1.5","0","412","D","CampylobacterCulturable_MPNPer100ml","C","0/370",NA,NA,NA,"3"
"107","1.5","2","409","D","CampylobacterCulturable_MPNPer100ml","C","0/371",NA,NA,NA,"3"
"108","1.5","2","503","D","CampylobacterCulturable_MPNPer100ml","C","0/373",NA,NA,NA,"1"
"109","198916.666666667","1","107","A","enterococciCulturableMEI_CFUPer100ML","C","6/379",NA,NA,NA,"1"
"110","221333.333333333","1","209","A","enterococciCulturableMEI_CFUPer100ML","C","6/385",NA,NA,NA,"2"
"111","211083.333333333","1","307","A","enterococciCulturableMEI_CFUPer100ML","C","6/391",NA,NA,NA,"3"
"112","31100","0","109","A","enterococciCulturableMEI_CFUPer100ML","C","5/396",NA,NA,NA,"1"
"113","22333.3333333333","0","110","A","enterococciCulturableMEI_CFUPer100ML","C","6/402",NA,NA,NA,"1"
"114","128833.333333333","0","205","A","enterococciCulturableMEI_CFUPer100ML","C","6/408",NA,NA,NA,"2"
"115","30333.3333333333","0","412","A","enterococciCulturableMEI_CFUPer100ML","C","6/414",NA,NA,NA,"3"
"116","269000","2","403","A","enterococciCulturableMEI_CFUPer100ML","C","6/420",NA,NA,NA,"3"
"117","216666.666666667","2","409","A","enterococciCulturableMEI_CFUPer100ML","C","6/426",NA,NA,NA,"3"
"118","578333.333333333","2","503","A","enterococciCulturableMEI_CFUPer100ML","C","6/432",NA,NA,NA,"1"
"119","66758.3333333333","1","107","B","enterococciCulturableMEI_CFUPer100ML","C","6/438",NA,NA,NA,"1"
"120","12608.3333333333","1","209","B","enterococciCulturableMEI_CFUPer100ML","C","6/444",NA,NA,NA,"2"
"121","3833.33333333333","1","307","B","enterococciCulturableMEI_CFUPer100ML","C","6/450",NA,NA,NA,"3"
"122","64416.6666666667","0","109","B","enterococciCulturableMEI_CFUPer100ML","C","6/456",NA,NA,NA,"1"
"123","109933.333333333","0","205","B","enterococciCulturableMEI_CFUPer100ML","C","6/462",NA,NA,NA,"2"
"124","186500","0","412","B","enterococciCulturableMEI_CFUPer100ML","C","6/468",NA,NA,NA,"3"
"125","720","2","403","B","enterococciCulturableMEI_CFUPer100ML","C","6/474",NA,NA,NA,"3"
"126","990","2","409","B","enterococciCulturableMEI_CFUPer100ML","C","6/480",NA,NA,NA,"3"
"127","1350","2","503","B","enterococciCulturableMEI_CFUPer100ML","C","6/486",NA,NA,NA,"1"
"128","6235.71428571429","1","107","C","enterococciCulturableMEI_CFUPer100ML","C","7/493",NA,NA,NA,"1"
"129","26478.5714285714","1","209","C","enterococciCulturableMEI_CFUPer100ML","C","7/500",NA,NA,NA,"2"
"130","18642.8571428571","1","307","C","enterococciCulturableMEI_CFUPer100ML","C","7/507",NA,NA,NA,"3"
"131","37285.7142857143","0","109","C","enterococciCulturableMEI_CFUPer100ML","C","7/514",NA,NA,NA,"1"
"132","116714.285714286","0","205","C","enterococciCulturableMEI_CFUPer100ML","C","7/521",NA,NA,NA,"2"
"133","49000","0","412","C","enterococciCulturableMEI_CFUPer100ML","C","7/528",NA,NA,NA,"3"
"134","6285.71428571429","2","403","C","enterococciCulturableMEI_CFUPer100ML","C","7/535",NA,NA,NA,"3"
"135","23142.8571428571","2","409","C","enterococciCulturableMEI_CFUPer100ML","C","7/542",NA,NA,NA,"3"
"136","40285.7142857143","2","503","C","enterococciCulturableMEI_CFUPer100ML","C","7/549",NA,NA,NA,"1"
"137","42571.4285714286","1","107","D","enterococciCulturableMEI_CFUPer100ML","C","7/556",NA,NA,NA,"1"
"138","40857.1428571429","1","209","D","enterococciCulturableMEI_CFUPer100ML","C","7/563",NA,NA,NA,"2"
"139","59428.5714285714","1","307","D","enterococciCulturableMEI_CFUPer100ML","C","7/570",NA,NA,NA,"3"
"140","77428.5714285714","0","109","D","enterococciCulturableMEI_CFUPer100ML","C","7/577",NA,NA,NA,"1"
"141","332857.142857143","0","205","D","enterococciCulturableMEI_CFUPer100ML","C","7/584",NA,NA,NA,"2"
"142","78785.7142857143","0","412","D","enterococciCulturableMEI_CFUPer100ML","C","7/591",NA,NA,NA,"3"
"143","25000","2","409","D","enterococciCulturableMEI_CFUPer100ML","C","6/597",NA,NA,NA,"3"
"144","6592.85714285714","2","503","D","enterococciCulturableMEI_CFUPer100ML","C","7/604",NA,NA,NA,"1"
"145","1.35","1","107","A","Giardia_CystsPer100ml","C","0/606",NA,NA,NA,"1"
"146","3.025","1","209","A","Giardia_CystsPer100ml","C","1/608",NA,NA,NA,"2"
"147","4.075","1","307","A","Giardia_CystsPer100ml","C","1/610",NA,NA,NA,"3"
"148","1947.5","0","109","A","Giardia_CystsPer100ml","C","2/612",NA,NA,NA,"1"
"149","1295","0","110","A","Giardia_CystsPer100ml","C","2/614",NA,NA,NA,"1"
"150","475","0","205","A","Giardia_CystsPer100ml","C","2/616",NA,NA,NA,"2"
"151","915","0","412","A","Giardia_CystsPer100ml","C","1/617",NA,NA,NA,"3"
"152","1.725","2","403","A","Giardia_CystsPer100ml","C","0/619",NA,NA,NA,"3"
"153","1.225","2","409","A","Giardia_CystsPer100ml","C","0/621",NA,NA,NA,"3"
"154","1.9","2","503","A","Giardia_CystsPer100ml","C","0/623",NA,NA,NA,"1"
"155","0.4","1","107","B","Giardia_CystsPer100ml","C","2/625",NA,NA,NA,"1"
"156","0.4","1","209","B","Giardia_CystsPer100ml","C","2/627",NA,NA,NA,"2"
"157","0.0202","1","307","B","Giardia_CystsPer100ml","C","0/629",NA,NA,NA,"3"
"158","1110","0","109","B","Giardia_CystsPer100ml","C","2/631",NA,NA,NA,"1"
"159","700","0","205","B","Giardia_CystsPer100ml","C","2/633",NA,NA,NA,"2"
"160","340","0","412","B","Giardia_CystsPer100ml","C","2/635",NA,NA,NA,"3"
"161","0.0276925","2","403","B","Giardia_CystsPer100ml","C","0/637",NA,NA,NA,"3"
"162","0.016025","2","409","B","Giardia_CystsPer100ml","C","0/639",NA,NA,NA,"3"
"163","0.013025","2","503","B","Giardia_CystsPer100ml","C","0/641",NA,NA,NA,"1"
"164","288.28828825","0","109","C","Giardia_CystsPer100ml","C","2/643",NA,NA,NA,"1"
"165","2809.5238095","0","205","C","Giardia_CystsPer100ml","C","2/645",NA,NA,NA,"2"
"166","634.34247895","0","412","C","Giardia_CystsPer100ml","C","2/647",NA,NA,NA,"3"
"167","5","1","307","C","Giardia_CystsPer100ml","C","2/649",NA,NA,NA,"3"
"168","4.325396825","2","403","C","Giardia_CystsPer100ml","C","0/651",NA,NA,NA,"3"
"169","27.142857145","2","409","C","Giardia_CystsPer100ml","C","2/653",NA,NA,NA,"3"
"170","4.9825174825","2","503","C","Giardia_CystsPer100ml","C","0/655",NA,NA,NA,"1"
"171","1.2","1","107","D","Giardia_CystsPer100ml","C","2/657",NA,NA,NA,"1"
"172","10.05","1","209","D","Giardia_CystsPer100ml","C","2/659",NA,NA,NA,"2"
"173","7.3","1","307","D","Giardia_CystsPer100ml","C","2/661",NA,NA,NA,"3"
"174","2400","0","109","D","Giardia_CystsPer100ml","C","2/663",NA,NA,NA,"1"
"175","43600","0","205","D","Giardia_CystsPer100ml","C","2/665",NA,NA,NA,"2"
"176","308.5","0","412","D","Giardia_CystsPer100ml","C","2/667",NA,NA,NA,"3"
"177","3.4","2","503","D","Giardia_CystsPer100ml","C","2/669",NA,NA,NA,"1"
"178","557.333333333333","1","107","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/672",NA,NA,NA,"1"
"179","7.76666666666667","1","209","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","2/675",NA,NA,NA,"2"
"180","2.33333333333333","1","307","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/678",NA,NA,NA,"3"
"181","7.76666666666667","0","109","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/681",NA,NA,NA,"1"
"182","0","0","110","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","0/684",NA,NA,NA,"1"
"183","10.5666666666667","0","205","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","2/687",NA,NA,NA,"2"
"184","11.3","0","412","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","2/689",NA,NA,NA,"3"
"185","107.766666666667","2","403","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/692",NA,NA,NA,"3"
"186","117.766666666667","2","409","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/695",NA,NA,NA,"3"
"187","175.1","2","503","A","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/698",NA,NA,NA,"1"
"188","162.666666666667","1","107","B","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/701",NA,NA,NA,"1"
"189","363","1","209","B","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/704",NA,NA,NA,"2"
"190","4.33333333333333","1","307","B","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/707",NA,NA,NA,"3"
"191","431.333333333333","0","109","B","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/710",NA,NA,NA,"1"
"192","44.3333333333333","0","205","B","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/713",NA,NA,NA,"2"
"193","152.333333333333","0","412","B","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/716",NA,NA,NA,"3"
"194","47.6666666666667","2","403","B","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/719",NA,NA,NA,"3"
"195","65.3333333333333","2","409","B","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/722",NA,NA,NA,"3"
"196","115.666666666667","2","503","B","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/725",NA,NA,NA,"1"
"197","0","1","107","C","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/728",NA,NA,NA,"1"
"198","0","1","209","C","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/731",NA,NA,NA,"2"
"199","1.7","1","307","C","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/734",NA,NA,NA,"3"
"200","150","0","109","C","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/737",NA,NA,NA,"1"
"201","426.666666666667","0","205","C","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/740",NA,NA,NA,"2"
"202","102.666666666667","0","412","C","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/743",NA,NA,NA,"3"
"203","5.61","2","403","C","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/746",NA,NA,NA,"3"
"204","0.353333333333333","2","409","C","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/749",NA,NA,NA,"3"
"205","1.19666666666667","2","503","C","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/752",NA,NA,NA,"1"
"206","8","1","107","D","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/755",NA,NA,NA,"1"
"207","61.78","1","209","D","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/758",NA,NA,NA,"2"
"208","33.78","1","307","D","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/761",NA,NA,NA,"3"
"209","87.11","0","109","D","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/764",NA,NA,NA,"1"
"210","131.946666666667","0","205","D","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/767",NA,NA,NA,"2"
"211","20.4466666666667","0","412","D","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/770",NA,NA,NA,"3"
"212","0.13","2","409","D","ClostridiumCulturable_TSCF_CFUPer100ml","C","1/771",NA,NA,NA,"3"
"213","1.11","2","503","D","ClostridiumCulturable_TSCF_CFUPer100ml","C","3/774",NA,NA,NA,"1"
"214","1.25","1","107","A","Crypto_OocystsPer100ml","C","0/776",NA,NA,NA,"1"
"215","1","1","209","A","Crypto_OocystsPer100ml","C","0/778",NA,NA,NA,"2"
"216","2.25","1","307","A","Crypto_OocystsPer100ml","C","0/780",NA,NA,NA,"3"
"217","2.5","0","109","A","Crypto_OocystsPer100ml","C","0/782",NA,NA,NA,"1"
"218","3.75","0","110","A","Crypto_OocystsPer100ml","C","0/784",NA,NA,NA,"1"
"219","5","0","205","A","Crypto_OocystsPer100ml","C","0/786",NA,NA,NA,"2"
"220","2.5","0","412","A","Crypto_OocystsPer100ml","C","0/787",NA,NA,NA,"3"
"221","1.75","2","403","A","Crypto_OocystsPer100ml","C","0/789",NA,NA,NA,"3"
"222","1.25","2","409","A","Crypto_OocystsPer100ml","C","0/791",NA,NA,NA,"3"
"223","2","2","503","A","Crypto_OocystsPer100ml","C","0/793",NA,NA,NA,"1"
"224","18","1","107","B","Crypto_OocystsPer100ml","C","2/795",NA,NA,NA,"1"
"225","3.8","1","209","B","Crypto_OocystsPer100ml","C","2/797",NA,NA,NA,"2"
"226","6.6","1","307","B","Crypto_OocystsPer100ml","C","2/799",NA,NA,NA,"3"
"227","2890","0","109","B","Crypto_OocystsPer100ml","C","2/801",NA,NA,NA,"1"
"228","2340","0","205","B","Crypto_OocystsPer100ml","C","2/803",NA,NA,NA,"2"
"229","1000","0","412","B","Crypto_OocystsPer100ml","C","2/805",NA,NA,NA,"3"
"230","0.1475","2","403","B","Crypto_OocystsPer100ml","C","2/807",NA,NA,NA,"3"
"231","0.06975","2","409","B","Crypto_OocystsPer100ml","C","1/809",NA,NA,NA,"3"
"232","0.111","2","503","B","Crypto_OocystsPer100ml","C","2/811",NA,NA,NA,"1"
"233","1790","0","109","C","Crypto_OocystsPer100ml","C","2/813",NA,NA,NA,"1"
"234","2580","0","205","C","Crypto_OocystsPer100ml","C","2/815",NA,NA,NA,"2"
"235","312.879","0","412","C","Crypto_OocystsPer100ml","C","2/817",NA,NA,NA,"3"
"236","0.1285","1","307","C","Crypto_OocystsPer100ml","C","2/819",NA,NA,NA,"3"
"237","0.244","2","403","C","Crypto_OocystsPer100ml","C","2/821",NA,NA,NA,"3"
"238","0.1215","2","409","C","Crypto_OocystsPer100ml","C","0/823",NA,NA,NA,"3"
"239","0.084","2","503","C","Crypto_OocystsPer100ml","C","1/825",NA,NA,NA,"1"
"240","16.65","1","107","D","Crypto_OocystsPer100ml","C","2/827",NA,NA,NA,"1"
"241","65.9","1","209","D","Crypto_OocystsPer100ml","C","2/829",NA,NA,NA,"2"
"242","779.4","1","307","D","Crypto_OocystsPer100ml","C","2/831",NA,NA,NA,"3"
"243","437000","0","109","D","Crypto_OocystsPer100ml","C","2/833",NA,NA,NA,"1"
"244","753000","0","205","D","Crypto_OocystsPer100ml","C","2/835",NA,NA,NA,"2"
"245","195000","0","412","D","Crypto_OocystsPer100ml","C","2/837",NA,NA,NA,"3"
"246","12.85","2","503","D","Crypto_OocystsPer100ml","C","2/839",NA,NA,NA,"1"
"247","0.205","1","107","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/841",NA,NA,NA,"1"
"248","0.205","1","209","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/843",NA,NA,NA,"2"
"249","0.205","1","307","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/845",NA,NA,NA,"3"
"250","1.5","0","109","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/847",NA,NA,NA,"1"
"251","1.5","0","110","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/849",NA,NA,NA,"1"
"252","1.5","0","205","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/851",NA,NA,NA,"2"
"253","1.5","0","412","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/852",NA,NA,NA,"3"
"254","0.16","2","403","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/854",NA,NA,NA,"3"
"255","0.16","2","409","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/856",NA,NA,NA,"3"
"256","0.16","2","503","A","SalmonellaCulturableWildType_MPNPer100ml","C","0/858",NA,NA,NA,"1"
"257","1.5","1","107","B","SalmonellaCulturableWildType_MPNPer100ml","C","0/860",NA,NA,NA,"1"
"258","1.5","1","209","B","SalmonellaCulturableWildType_MPNPer100ml","C","0/862",NA,NA,NA,"2"
"259","1.5","1","307","B","SalmonellaCulturableWildType_MPNPer100ml","C","0/864",NA,NA,NA,"3"
"260","1.5","0","109","B","SalmonellaCulturableWildType_MPNPer100ml","C","0/866",NA,NA,NA,"1"
"261","1.5","0","205","B","SalmonellaCulturableWildType_MPNPer100ml","C","0/868",NA,NA,NA,"2"
"262","1.5","0","412","B","SalmonellaCulturableWildType_MPNPer100ml","C","0/870",NA,NA,NA,"3"
"263","1.5","2","403","B","SalmonellaCulturableWildType_MPNPer100ml","C","0/872",NA,NA,NA,"3"
"264","1.5","2","409","B","SalmonellaCulturableWildType_MPNPer100ml","C","0/874",NA,NA,NA,"3"
"265","1.5","2","503","B","SalmonellaCulturableWildType_MPNPer100ml","C","0/876",NA,NA,NA,"1"
