"","PlotID","season","Source","ElapsedTimeSinceUnewRunoffStarted_Minutes","data","proxy","detection level","method","detection frequency","type of mictobes","analysis type","amended field","names of microbes","day","week"
"54","101","C","S","30",20000,"20000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"55","101","D","S","30",150000,"150000","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157",1,0
"56","101","D","S","30",2130,"2130","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"57","101","B","S","30",377,"377","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"58","101","C","S","60",12350,"12350","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"59","101","D","S","30",33000,"33000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"60","101","C","S","60",14000,"14000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto",1,0
"61","101","B","S","30",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi",1,0
"62","101","C","S","60",1315,"1315","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"63","101","C","S","30",1675,"1675","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"64","101","B","S","15",723,"723","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"65","101","D","S","20",30000,"30000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"66","101","B","S","30",225,"225","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia",1,0
"67","101","C","S","30",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"68","101","D","S","60",1365,"1365","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"69","101","B","S","60",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi",1,0
"70","101","C","S","30",120,"120","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"71","101","C","S","5",13750,"13750","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"72","101","B","S","5",0.5,"0.25","BDL","enterococciCulturableMEI_CFUPer100ML","0","indicator","culturable","0","entero",1,0
"73","101","A","S","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"74","101","C","S","30",3,"1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157",1,0
"75","101","A","S","60",3,"1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157",1,0
"76","101","C","S","60",11766.66667,"11766.66667","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"77","101","A","S","30",3,"1.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto",1,0
"78","101","B","S","60",0.5,"0.25","BDL","enterococciCulturableMEI_CFUPer100ML","0","indicator","culturable","0","entero",1,0
"79","101","C","S","30",15333.333,"15333.333","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto",1,0
"80","101","A","S","60",3,"1.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto",1,0
"81","101","A","S","5",500,"500","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,0
"82","101","B","S","20",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi",1,0
"83","101","D","S","10",24000,"24000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"84","101","D","S","60",22000,"22000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"85","101","C","S","10",18300,"18300","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"86","101","B","S","60",290,"290","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"87","101","C","S","20",1675,"1675","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"88","101","A","S","30",3,"1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157",1,0
"89","101","D","S","20",3755,"3755","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"90","101","C","S","10",2280,"2280","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"91","101","D","S","60",2600000,"2600000","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto",1,0
"92","101","B","S","10",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi",1,0
"93","101","A","S","30",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"94","101","C","S","30",15100,"15100","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"95","101","D","S","60",21000,"21000","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia",1,0
"96","101","C","S","30",1485,"1485","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"97","101","B","S","5",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi",1,0
"98","101","D","S","30",26000,"26000","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia",1,0
"99","101","D","S","10",2155,"2155","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"100","101","D","S","30",4666666.7,"4666666.7","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto",1,0
"101","102","D","P","30",24.2,"24.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"102","102","A","P","30",16,"16","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter",1,0
"103","102","D","P","5",53.1,"53.1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"104","102","B","P","30",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella",1,0
"105","102","B","P","15",96,"96","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"106","102","C","P","30",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"107","102","C","P","20",157000,"157000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"108","102","C","P","5",54447.53333,"54447.53333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"109","102","A","P","60",290,"290","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter",1,0
"110","102","D","P","60",17,"17","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"111","102","C","P","60",26839.6,"26839.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"112","102","B","P","60",378,"378","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"113","102","D","P","10",42.2,"42.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"114","102","A","P","30",14970,"14970","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"115","102","B","P","30",399,"399","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"116","102","B","P","60",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi",1,0
"117","102","A","P","10",821.2,"821.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"118","102","C","P","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"119","102","C","P","10",170000,"170000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"120","102","B","P","20",1800,"1800","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"121","102","B","P","5",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi",1,0
"122","102","C","P","30",25474.6,"25474.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"123","102","D","P","20",120.1,"120.1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"124","102","D","P","15",110,"110","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"125","102","B","P","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella",1,0
"126","102","D","P","30",150.67,"150.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"127","102","C","P","60",95000,"95000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"128","102","C","P","20",22949.6,"22949.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"129","102","B","P","60",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi",1,0
"130","102","A","P","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"131","102","B","P","5",120000,"120000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"132","102","B","P","10",60000,"60000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"133","102","D","P","30",20000,"20000","WR","SalmonellaCulturableWildType_MPNPer100ml","1","bacteriapathogens","culturable","0","Salmonella",1,0
"134","102","C","P","30",29794.6,"29794.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"135","102","B","P","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","1","Campylobacter",1,0
"136","102","C","P","30",24,"24","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"137","102","C","P","60",25,"25","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"138","102","B","P","30",40000,"40000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"139","102","A","P","20",1430000,"1430000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,0
"140","102","D","P","60",11250,"11250","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"141","102","D","P","5",17600,"17600","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"142","102","B","P","30",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi",1,0
"143","102","B","P","10",100,"100","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"144","102","A","P","60",1430000,"1430000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,0
"145","102","C","P","5",169000,"169000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"146","102","C","P","60",38769.6,"38769.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"147","102","C","P","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"148","102","C","P","30",250000,"250000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"149","102","C","P","15",58,"58","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"150","102","C","P","30",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"151","102","A","P","30",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"152","102","D","P","60",82.67,"82.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"153","102","A","P","15",3.3,"3.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium",1,0
"154","102","D","P","30",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"155","102","C","P","10",34859.6,"34859.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"156","102","A","P","30",71.1,"71.1","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium",1,0
"157","102","A","P","5",1430000,"1430000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,0
"158","102","A","P","60",66.7,"66.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium",1,0
"159","102","A","P","60",15760,"15760","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"160","102","B","P","30",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","1","Campylobacter",1,0
"161","102","B","P","20",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi",1,0
"162","102","D","P","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"163","102","D","P","60",15033.33333,"15033.33333","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"164","102","C","P","30",149500,"149500","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"165","102","D","P","30",18933.33333,"18933.33333","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"166","102","D","P","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"167","102","A","P","30",1430000,"1430000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,0
"168","102","B","P","60",6000,"6000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"169","102","D","P","30",177.3,"177.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"170","102","A","P","5",20138.7,"20138.7","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"171","102","A","P","10",1430000,"1430000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,0
"172","102","D","P","60",29.2,"29.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"173","102","D","P","10",21000,"21000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"174","102","D","P","30",13000,"13000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"175","102","D","P","20",22000,"22000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"176","102","B","P","60",51000,"51000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"177","102","C","P","60",115500,"115500","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"178","105","D","X","60",2,"2","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,2
"179","105","D","X","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,2
"180","105","B","X","30",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,2
"181","105","B","X","5",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi",1,2
"182","105","D","X","30",1.67,"1.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,2
"183","105","B","X","60",0.05,"0.025","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia",1,2
"184","105","D","X","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,2
"185","105","D","X","15",3,"3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,2
"186","105","B","X","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,2
"187","105","A","X","30",0.32,"0.32","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157",1,2
"188","105","B","X","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,2
"189","105","B","X","20",2710,"2710","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,2
"190","105","A","X","30",4,"2","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto",1,2
"191","105","B","X","30",0.05,"0.025","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia",1,2
"192","105","C","X","60",3,"1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157",1,2
"193","105","A","X","60",3,"1.5","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto",1,2
"194","105","D","X","60",3,"1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157",1,2
"195","105","D","X","60",1.1,"1.1","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia",1,2
"196","105","A","X","30",4,"2","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia",1,2
"197","105","D","X","30",3,"1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157",1,2
"198","105","C","X","60",12350,"12350","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,2
"199","105","B","X","30",0.05,"0.025","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","1","Crypto",1,2
"200","105","C","X","60",230,"230","WR","SalmonellaCulturableWildType_MPNPer100ml","1","bacteriapathogens","culturable","0","Salmonella",1,2
"201","105","A","X","60",0.32,"0.16","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,2
"202","105","B","X","10",1545,"1545","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,2
"203","105","C","X","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,2
"204","105","B","X","60",10,"10","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,2
"205","105","B","X","60",258,"258","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,2
"206","105","C","X","5",39000,"39000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,2
"207","105","C","X","60",10.05,"10.05","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,2
"208","105","D","X","20",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi",1,2
"209","105","C","X","10",17000,"17000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,2
"210","105","D","X","20",1000,"1000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,2
"211","105","A","X","10",40.6,"40.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,2
"212","105","A","X","20",1791.4,"1791.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,2
