PlotID,ManureTreatmentID,StudyID
407,M_X_Day3_D,D
407,M_X_Day3_D,D
407,M_X_Day3_D,D
407,M_X_Day3_D,D
407,M_X_Day3_D,D
407,M_X_Day3_D,D
408,M_P_Day3_D_Spiked,D
408,M_P_Day3_D_Spiked,D
408,M_P_Day3_D_Spiked,D
408,M_P_Day3_D_Spiked,D
408,M_P_Day3_D_Spiked,D
408,M_P_Day3_D_Spiked,D
408,M_P_Day3_D_Spiked,D
408,M_P_Day3_D_Spiked,D
408,M_P_Day3_D_Spiked,D
106,M_P_Day1_D_Spiked,D
106,M_P_Day1_D_Spiked,D
106,M_P_Day1_D_Spiked,D
106,M_P_Day1_D_Spiked,D
106,M_P_Day1_D_Spiked,D
106,M_P_Day1_D_Spiked,D
106,M_P_Day1_D_Spiked,D
106,M_P_Day1_D_Spiked,D
106,M_P_Day1_D_Spiked,D
105,M_X_Day1_D,D
105,M_X_Day1_D,D
105,M_X_Day1_D,D
105,M_X_Day1_D,D
105,M_X_Day1_D,D
105,M_X_Day1_D,D
105,M_X_Day1_D,D
105,M_X_Day1_D,D
105,M_X_Day1_D,D
503,M_C_Day1_D_Spiked,D
503,M_C_Day1_D_Spiked,D
503,M_C_Day1_D_Spiked,D
503,M_C_Day1_D_Spiked,D
503,M_C_Day1_D_Spiked,D
503,M_C_Day1_D_Spiked,D
503,M_C_Day1_D_Spiked,D
503,M_C_Day1_D_Spiked,D
503,M_C_Day1_D_Spiked,D
504,M_X_Day1_D,D
504,M_X_Day1_D,D
504,M_X_Day1_D,D
504,M_X_Day1_D,D
504,M_X_Day1_D,D
504,M_X_Day1_D,D
504,M_X_Day1_D,D
504,M_X_Day1_D,D
504,M_X_Day1_D,D
401,M_S_Day2_D_Spiked,D
401,M_S_Day2_D_Spiked,D
401,M_S_Day2_D_Spiked,D
401,M_S_Day2_D_Spiked,D
401,M_S_Day2_D_Spiked,D
401,M_S_Day2_D_Spiked,D
401,M_S_Day2_D_Spiked,D
401,M_S_Day2_D_Spiked,D
401,M_S_Day2_D_Spiked,D
402,M_X_Day2_D,D
402,M_X_Day2_D,D
402,M_X_Day2_D,D
402,M_X_Day2_D,D
402,M_X_Day2_D,D
402,M_X_Day2_D,D
402,M_X_Day2_D,D
402,M_X_Day2_D,D
402,M_X_Day2_D,D
201,M_P_Day2_D_Spiked,D
201,M_P_Day2_D_Spiked,D
201,M_P_Day2_D_Spiked,D
201,M_P_Day2_D_Spiked,D
201,M_P_Day2_D_Spiked,D
201,M_P_Day2_D_Spiked,D
201,M_P_Day2_D_Spiked,D
201,M_P_Day2_D_Spiked,D
201,M_P_Day2_D_Spiked,D
202,M_S_Day2_D_Spiked,D
202,M_S_Day2_D_Spiked,D
202,M_S_Day2_D_Spiked,D
202,M_S_Day2_D_Spiked,D
202,M_S_Day2_D_Spiked,D
202,M_S_Day2_D_Spiked,D
202,M_S_Day2_D_Spiked,D
202,M_S_Day2_D_Spiked,D
202,M_S_Day2_D_Spiked,D
403,M_C_Day3_D_Spiked,D
403,M_C_Day3_D_Spiked,D
403,M_C_Day3_D_Spiked,D
403,M_C_Day3_D_Spiked,D
403,M_C_Day3_D_Spiked,D
403,M_C_Day3_D_Spiked,D
403,M_C_Day3_D_Spiked,D
403,M_C_Day3_D_Spiked,D
403,M_C_Day3_D_Spiked,D
404,M_P_Day3_D_Spiked,D
404,M_P_Day3_D_Spiked,D
404,M_P_Day3_D_Spiked,D
404,M_P_Day3_D_Spiked,D
404,M_P_Day3_D_Spiked,D
404,M_P_Day3_D_Spiked,D
404,M_P_Day3_D_Spiked,D
404,M_P_Day3_D_Spiked,D
404,M_P_Day3_D_Spiked,D
409,M_C_Day3_D_Spiked,D
409,M_C_Day3_D_Spiked,D
409,M_C_Day3_D_Spiked,D
409,M_C_Day3_D_Spiked,D
409,M_C_Day3_D_Spiked,D
409,M_C_Day3_D_Spiked,D
409,M_C_Day3_D_Spiked,D
409,M_C_Day3_D_Spiked,D
409,M_C_Day3_D_Spiked,D
410,M_S_Day3_D_Spiked,D
410,M_S_Day3_D_Spiked,D
410,M_S_Day3_D_Spiked,D
410,M_S_Day3_D_Spiked,D
410,M_S_Day3_D_Spiked,D
410,M_S_Day3_D_Spiked,D
410,M_S_Day3_D_Spiked,D
410,M_S_Day3_D_Spiked,D
410,M_S_Day3_D_Spiked,D
